candidate,gate,threshold,mode,budget,momentum_cap,trigger_days,D_sharpe_delta,D_annual_delta,D_top10_delta,V_sharpe_delta,V_annual_delta,V_top10_delta,robust_score,eligible_DV_triple,minimum_drawdown
P7_026,BOTH,0.7,SAFE,0.3,0.1,115,-0.1339912828895664,-0.04576215759051583,0.004554196235489638,0.04763270261023489,0.01245068401771543,0.01815029935761933,-4.576215759051583,False,0.02
P7_053,BOTH,0.7,RA,0.2,0.15,154,-0.1317201850933747,-0.046062010918890506,0.003380732160560909,-0.059222541263971196,-0.016753160075179796,0.01996598300388326,-4.606201091889051,False,0.02
P7_089,MOMCAP,0.8,RA,0.15,0.1,132,-0.14759589512931415,-0.046163995629757704,-0.0006094252620102714,0.1312364267845535,0.038644746917240846,0.008612443334267264,-4.61639956297577,False,
P7_017,MOMCAP,0.7,SAFE,0.35,0.15,362,-0.10264227543406523,-0.04646895894414316,-9.685302009815322e-05,0.04548826110724702,0.00665933934589602,0.0034376479910934454,-4.646895894414316,False,
P7_105,MOMCAP,0.8,RA,0.35,0.2,260,-0.1196067533260019,-0.04664723190532638,0.003143584936745991,0.16934120431761934,0.04644921348282072,0.009038354212141539,-4.664723190532638,False,
P7_009,MOMCAP,0.7,SAFE,0.25,0.1,250,-0.14127734815123238,-0.046857073175941455,-0.0047123704065791805,0.09375946324891504,0.02449103015031584,0.010030638222337532,-4.6857073175941455,False,
P7_038,MOMCAP,0.7,RA,0.25,0.1,250,-0.14457250890504492,-0.04696535378452338,-0.005160978132004987,0.10525769797397466,0.02826955677373877,0.018162190488348842,-4.696535378452338,False,
P7_102,MOMCAP,0.8,RA,0.35,0.05,36,-0.14748598337710805,-0.04715435841633986,4.163336342344337e-17,0.006262059669836506,0.00035973791344567907,0.005974787834279863,-4.715435841633986,False,
P7_055,BOTH,0.7,RA,0.3,0.1,115,-0.1432068293953368,-0.04774659510416179,0.003947373558909784,0.05170921991609323,0.013722544865342412,0.017893364614980117,-4.774659510416179,False,0.02
P7_096,MOMCAP,0.8,RA,0.25,0.1,132,-0.15081621712042526,-0.0483023113478227,-0.0005421775145104113,0.14787820649398997,0.0419389365646019,0.008863125625637736,-4.83023113478227,False,
P7_103,MOMCAP,0.8,RA,0.35,0.1,132,-0.154777792373604,-0.05047940916718341,-0.0007577735222471516,0.16366981532695812,0.04517165182758398,0.009110803083569263,-5.047940916718341,False,
P7_046,MOMCAP,0.7,RA,0.35,0.15,362,-0.1241576775888007,-0.05050645621298111,-0.004296204159635525,0.011852887570490966,-0.0022557162069536396,0.01364102691395326,-5.050645621298111,False,
P7_028,BOTH,0.7,SAFE,0.3,0.15,154,-0.1328501071882604,-0.05060573072561603,0.004120240718623436,-0.058404888999091686,-0.018345439897019755,0.020601233062923233,-5.060573072561603,False,0.02
P7_016,MOMCAP,0.7,SAFE,0.35,0.1,250,-0.15156030331364012,-0.052495132983822135,-0.004593385738791755,0.10412873794455868,0.02553266636107354,0.01905236418512847,-5.2495132983822135,False,
P7_045,MOMCAP,0.7,RA,0.35,0.1,250,-0.15608356565189818,-0.05263971725216665,-0.005219712588411099,0.12057608637375428,0.030846645651864568,0.019014483276155736,-5.263971725216665,False,
P7_090,MOMCAP,0.8,RA,0.15,0.15,205,-0.1602769094410883,-0.053694520235193055,-0.000527763234270201,0.11089979230386227,0.03260865273903568,0.009024827814496206,-5.3694520235193055,False,
P7_057,BOTH,0.7,RA,0.3,0.15,154,-0.14948551687873146,-0.05540928308114279,0.003264505302164461,-0.05934427598391567,-0.018555415303455725,0.020601233062923163,-5.540928308114279,False,0.02
P7_001,MOMCAP,0.7,SAFE,0.15,0.05,73,-0.1888335846416127,-0.058060833267079115,-0.000998663520599033,-0.02913358770500385,-0.009737206866601067,-0.00030240677150912554,-5.8060833267079115,False,
P7_097,MOMCAP,0.8,RA,0.25,0.15,205,-0.16706142268215385,-0.059056857865204204,-0.0005729381302759934,0.11968833766532716,0.03314916197381024,0.016831146967632285,-5.90568578652042,False,
P7_008,MOMCAP,0.7,SAFE,0.25,0.05,73,-0.1971804571471778,-0.061886796151815915,-0.0006558114175944096,-0.036548984327344436,-0.012460736664796412,-0.0005044452898106538,-6.1886796151815915,False,
P7_030,MOMCAP,0.7,RA,0.15,0.05,73,-0.20569372672342867,-0.06312882719196478,-0.0009986635205989913,-0.021992153660592706,-0.007536805497615928,8.823498590246337e-05,-6.312882719196478,False,
P7_104,MOMCAP,0.8,RA,0.35,0.15,205,-0.17566487489477356,-0.06449557502367709,-0.0008005327046796129,0.1274705664617234,0.03361364053620508,0.016846826616954774,-6.449557502367709,False,
P7_015,MOMCAP,0.7,SAFE,0.35,0.05,73,-0.2064534024931297,-0.06575329159666254,-0.0006000648039561213,-0.04439981281706529,-0.015207627781542277,0.005974787834279918,-6.575329159666254,False,
P7_037,MOMCAP,0.7,RA,0.25,0.05,73,-0.21683297035321947,-0.06763814064116236,-0.0006558114175944652,-0.0245183064690091,-0.008792263526098187,0.00014805130205272632,-6.763814064116236,False,
P7_044,MOMCAP,0.7,RA,0.35,0.05,73,-0.22880179134071454,-0.07217755080147126,-0.0006000648039560796,-0.027383069512443403,-0.01007027382735215,0.005974787834279932,-7.217755080147126,False,
