tau,from_asset,away_asset,away_entry_date,return_entry_date,away_holding_days,whipsaw_pnl
0.001,159915.SZ,510300.SH,2020-07-07,2020-07-14,5,0.016791197494224752
0.001,510300.SH,159915.SZ,2020-10-14,2020-10-26,8,-0.06457004408053613
0.001,159915.SZ,510300.SH,2020-10-26,2020-11-02,5,-0.006559595213789793
0.001,510300.SH,159915.SZ,2020-11-02,2020-11-09,5,0.026299904194702073
0.001,159915.SZ,510300.SH,2020-11-09,2020-12-16,27,0.012535599991523094
0.001,159915.SZ,518880.SH,2020-12-30,2021-01-07,5,0.025424347977478945
0.001,159915.SZ,510300.SH,2021-01-14,2021-01-21,5,-0.036526385203125566
0.001,159915.SZ,513100.SH,2021-02-03,2021-02-10,5,0.0063337609928104666
0.001,513100.SH,159915.SZ,2021-02-10,2021-02-24,5,-0.0681930548272357
0.001,513100.SH,510300.SH,2021-03-04,2021-03-11,5,-0.09774991236007358
0.001,513100.SH,518880.SH,2021-03-19,2021-03-29,6,-0.0280746861465192
0.001,159915.SZ,518880.SH,2021-05-10,2021-05-17,5,0.004183608957996299
0.001,518880.SH,159915.SZ,2021-05-17,2021-05-24,5,0.03403859625747985
0.001,159915.SZ,518880.SH,2021-05-24,2021-05-31,5,-0.010241091936550317
0.001,159915.SZ,513100.SH,2021-06-16,2021-07-22,26,0.061265372030582466
0.001,159915.SZ,518880.SH,2021-07-29,2021-08-05,5,0.0170979158913398
0.001,513100.SH,510300.SH,2021-08-25,2021-09-01,5,-0.01770936432347303
0.001,159915.SZ,513100.SH,2021-11-03,2021-11-26,17,0.024981352880642405
0.001,513100.SH,518880.SH,2022-01-10,2022-03-23,47,0.05752845904133963
0.001,518880.SH,513100.SH,2022-03-23,2022-04-18,16,-0.05669771570143112
0.001,159915.SZ,510300.SH,2022-05-31,2022-06-08,5,0.03880166239068905
0.001,518880.SH,159915.SZ,2022-11-07,2022-11-14,5,-0.010155663791685643
0.001,518880.SH,510300.SH,2022-11-28,2022-12-05,5,0.04642604427611374
0.001,510300.SH,518880.SH,2022-12-05,2022-12-12,5,-0.000978880738200738
0.001,518880.SH,510300.SH,2022-12-12,2023-01-04,16,-0.021690522567987758
0.001,518880.SH,513100.SH,2023-03-31,2023-04-10,5,0.005294556763454583
0.001,513100.SH,518880.SH,2023-05-05,2023-05-12,5,-0.00843262594494587
0.001,518880.SH,513100.SH,2023-05-12,2023-07-24,49,0.18709627213853075
0.001,518880.SH,510300.SH,2023-07-31,2023-08-22,16,-0.07251501699072782
0.001,518880.SH,513100.SH,2023-09-18,2023-09-25,5,-0.029304908027305343
0.001,513100.SH,518880.SH,2023-09-25,2023-10-11,6,-0.04825679899644175
0.001,518880.SH,513100.SH,2023-10-11,2023-10-19,6,-0.0010730846099344937
0.001,513100.SH,518880.SH,2023-10-19,2023-11-16,20,-0.0030780344211149835
0.001,518880.SH,513100.SH,2023-11-16,2023-12-08,16,-0.018954086182874308
0.001,513100.SH,518880.SH,2023-12-08,2023-12-15,5,0.016488167217194816
0.001,518880.SH,513100.SH,2023-12-15,2024-01-11,18,0.011445663645442083
