tau,date,from_asset,to_asset,traded_weight,cost
0.0025,2025-11-20,513100.SH,159915.SZ,2.0,0.0002
0.0025,2025-11-27,159915.SZ,518880.SH,2.0,0.0002
0.0025,2025-12-11,518880.SH,159915.SZ,2.0,0.0002
0.0025,2025-12-18,159915.SZ,518880.SH,2.0,0.0002
0.0025,2025-12-31,518880.SH,159915.SZ,2.0,0.0002
0.0025,2026-01-09,159915.SZ,518880.SH,2.0,0.0002
0.0025,2026-01-16,518880.SH,159915.SZ,2.0,0.0002
0.0025,2026-01-23,159915.SZ,518880.SH,2.0,0.0002
0.0025,2026-03-09,518880.SH,159915.SZ,2.0,0.0002
0.0025,2026-04-28,159915.SZ,513100.SH,2.0,0.0002
0.005,2014-02-07,,159915.SZ,1.0,0.0001
0.005,2014-02-26,159915.SZ,518880.SH,2.0,0.0002
0.005,2014-04-02,518880.SH,510300.SH,2.0,0.0002
0.005,2014-05-06,510300.SH,518880.SH,2.0,0.0002
0.005,2014-05-14,518880.SH,513100.SH,2.0,0.0002
0.005,2014-06-16,513100.SH,159915.SZ,2.0,0.0002
0.005,2014-06-23,159915.SZ,513100.SH,2.0,0.0002
0.005,2014-06-30,513100.SH,518880.SH,2.0,0.0002
0.005,2014-07-15,518880.SH,513100.SH,2.0,0.0002
0.005,2014-07-25,513100.SH,510300.SH,2.0,0.0002
0.005,2014-08-21,510300.SH,159915.SZ,2.0,0.0002
0.005,2014-09-04,159915.SZ,513100.SH,2.0,0.0002
0.005,2014-09-12,513100.SH,159915.SZ,2.0,0.0002
0.005,2014-11-03,159915.SZ,510300.SH,2.0,0.0002
0.005,2014-11-10,510300.SH,513100.SH,2.0,0.0002
0.005,2014-11-24,513100.SH,510300.SH,2.0,0.0002
0.005,2015-01-20,510300.SH,518880.SH,2.0,0.0002
0.005,2015-01-29,518880.SH,159915.SZ,2.0,0.0002
0.005,2015-03-31,159915.SZ,510300.SH,2.0,0.0002
0.005,2015-04-08,510300.SH,159915.SZ,2.0,0.0002
0.005,2015-04-15,159915.SZ,510300.SH,2.0,0.0002
0.005,2015-05-07,510300.SH,159915.SZ,2.0,0.0002
0.005,2015-06-16,159915.SZ,510300.SH,2.0,0.0002
0.005,2015-06-24,510300.SH,513100.SH,2.0,0.0002
0.005,2015-07-07,513100.SH,518880.SH,2.0,0.0002
0.005,2015-07-16,518880.SH,513100.SH,2.0,0.0002
0.005,2015-08-06,513100.SH,159915.SZ,2.0,0.0002
0.005,2015-08-13,159915.SZ,513100.SH,2.0,0.0002
0.005,2015-08-20,513100.SH,518880.SH,2.0,0.0002
0.005,2015-09-24,518880.SH,513100.SH,2.0,0.0002
0.005,2015-10-08,513100.SH,159915.SZ,2.0,0.0002
0.005,2015-11-04,159915.SZ,513100.SH,2.0,0.0002
0.005,2015-11-11,513100.SH,159915.SZ,2.0,0.0002
0.005,2015-12-09,159915.SZ,513100.SH,2.0,0.0002
0.005,2015-12-28,513100.SH,510300.SH,2.0,0.0002
0.005,2016-01-05,510300.SH,518880.SH,2.0,0.0002
0.005,2016-03-21,518880.SH,513100.SH,2.0,0.0002
0.005,2016-03-28,513100.SH,510300.SH,2.0,0.0002
0.005,2016-04-05,510300.SH,159915.SZ,2.0,0.0002
