date,arm,510300.SH,159915.SZ,513100.SH,518880.SH
2019-07-16,A3,1.0,0.0,0.0,0.0
2019-07-23,A3,0.0,0.0,1.0,0.0
2019-08-06,A3,0.0,0.0,0.0,1.0
2019-09-09,A3,0.0,1.0,0.0,0.0
2019-09-27,A3,1.0,0.0,0.0,0.0
2019-10-11,A3,0.0,0.0,1.0,0.0
2019-10-18,A3,1.0,0.0,0.0,0.0
2019-10-25,A3,0.0,0.0,1.0,0.0
2019-12-18,A3,0.0,1.0,0.0,0.0
2019-12-25,A3,0.0,0.0,1.0,0.0
2020-01-02,A3,0.0,1.0,0.0,0.0
2020-01-16,A3,0.0,0.0,1.0,0.0
2020-01-23,A3,0.0,1.0,0.0,0.0
2020-02-07,A3,0.0,0.0,1.0,0.0
2020-02-25,A3,0.0,1.0,0.0,0.0
2020-03-12,A3,0.0,0.0,0.0,1.0
2020-04-29,A3,0.0,0.0,1.0,0.0
2020-06-02,A3,0.0,0.0,0.0,1.0
2020-06-09,A3,0.0,1.0,0.0,0.0
2020-08-05,A3,0.0,0.0,0.0,1.0
2020-08-20,A3,0.0,0.0,1.0,0.0
2020-10-13,A3,0.0,1.0,0.0,0.0
2020-11-09,A3,1.0,0.0,0.0,0.0
2020-12-17,A3,0.0,1.0,0.0,0.0
2021-02-10,A3,0.0,0.0,1.0,0.0
2021-03-01,A3,1.0,0.0,0.0,0.0
2021-03-09,A3,0.0,0.0,1.0,0.0
2021-03-22,A3,0.0,0.0,0.0,1.0
2021-03-30,A3,0.0,0.0,1.0,0.0
2021-04-26,A3,0.0,1.0,0.0,0.0
2021-06-21,A3,0.0,0.0,1.0,0.0
2021-07-22,A3,0.0,1.0,0.0,0.0
2021-07-29,A3,0.0,0.0,1.0,0.0
2021-09-15,A3,0.0,0.0,0.0,1.0
2021-09-24,A3,1.0,0.0,0.0,0.0
2021-10-15,A3,0.0,1.0,0.0,0.0
2021-11-05,A3,0.0,0.0,1.0,0.0
2021-12-01,A3,0.0,1.0,0.0,0.0
2021-12-09,A3,1.0,0.0,0.0,0.0
2021-12-21,A3,0.0,1.0,0.0,0.0
2021-12-28,A3,1.0,0.0,0.0,0.0
2022-01-05,A3,0.0,0.0,1.0,0.0
2022-01-12,A3,0.0,0.0,0.0,1.0
2022-03-29,A3,0.0,0.0,1.0,0.0
2022-04-22,A3,0.0,0.0,0.0,1.0
2022-05-24,A3,0.0,1.0,0.0,0.0
2022-07-21,A3,0.0,0.0,1.0,0.0
2022-08-30,A3,0.0,0.0,0.0,1.0
2022-11-07,A3,0.0,1.0,0.0,0.0
2022-11-14,A3,0.0,0.0,0.0,1.0
2022-12-02,A3,1.0,0.0,0.0,0.0
2023-01-03,A3,0.0,0.0,0.0,1.0
2023-01-17,A3,0.0,1.0,0.0,0.0
2023-02-13,A3,0.0,0.0,1.0,0.0
2023-03-08,A3,0.0,0.0,0.0,1.0
2023-04-11,A3,0.0,0.0,1.0,0.0
2023-04-28,A3,0.0,0.0,0.0,1.0
2023-05-12,A3,0.0,0.0,1.0,0.0
2023-08-04,A3,1.0,0.0,0.0,0.0
2023-08-16,A3,0.0,1.0,0.0,0.0
2023-08-23,A3,0.0,0.0,0.0,1.0
2023-10-12,A3,0.0,0.0,1.0,0.0
2023-10-19,A3,0.0,0.0,0.0,1.0
2023-11-20,A3,0.0,0.0,1.0,0.0
2024-01-17,A3,0.0,0.0,0.0,1.0
2024-01-24,A3,0.0,0.0,1.0,0.0
2024-02-28,A3,1.0,0.0,0.0,0.0
2024-03-12,A3,0.0,1.0,0.0,0.0
2024-03-25,A3,0.0,0.0,0.0,1.0
2024-05-10,A3,1.0,0.0,0.0,0.0
2024-05-23,A3,0.0,1.0,0.0,0.0
2024-05-30,A3,0.0,0.0,1.0,0.0
2024-07-19,A3,0.0,0.0,0.0,1.0
2024-07-26,A3,0.0,0.0,1.0,0.0
2024-08-02,A3,0.0,0.0,0.0,1.0
2024-09-05,A3,0.0,0.0,1.0,0.0
2024-09-12,A3,0.0,0.0,0.0,1.0
2024-09-30,A3,0.0,1.0,0.0,0.0
2024-11-11,A3,0.0,0.0,1.0,0.0
2024-11-18,A3,0.0,1.0,0.0,0.0
2024-11-25,A3,0.0,0.0,1.0,0.0
2025-01-13,A3,0.0,0.0,0.0,1.0
2025-02-24,A3,0.0,1.0,0.0,0.0
2025-03-03,A3,0.0,0.0,0.0,1.0
