date,asset,target_weight
2023-09-07,512890.SH,0.4499999999999999
2023-09-07,511260.SH,0.4
2023-09-07,511360.SH,0.10714285714285714
2023-09-07,511880.SH,0.04285714285714286
2023-09-08,512890.SH,0.4016393442622951
2023-09-08,511260.SH,0.3278688524590164
2023-09-08,511360.SH,0.22131147540983606
2023-09-08,511880.SH,0.049180327868852465
2023-09-11,512890.SH,0.16935483870967738
2023-09-11,511260.SH,0.5806451612903226
2023-09-11,511360.SH,0.1693548387096774
2023-09-11,511880.SH,0.08064516129032258
2023-09-12,512890.SH,0.34507042253521125
2023-09-12,511260.SH,0.5070422535211269
2023-09-12,511360.SH,0.1056338028169014
2023-09-12,511880.SH,0.04225352112676056
2023-09-13,512890.SH,0.16935483870967738
2023-09-13,511260.SH,0.5806451612903226
2023-09-13,511360.SH,0.1693548387096774
2023-09-13,511880.SH,0.08064516129032258
2023-09-14,512890.SH,0.16935483870967738
2023-09-14,511260.SH,0.5806451612903226
2023-09-14,511360.SH,0.1693548387096774
2023-09-14,511880.SH,0.08064516129032258
2023-09-15,512890.SH,0.16935483870967738
2023-09-15,511260.SH,0.5806451612903226
2023-09-15,511360.SH,0.1693548387096774
2023-09-15,511880.SH,0.08064516129032258
2023-09-18,512890.SH,0.16935483870967738
2023-09-18,511260.SH,0.5806451612903226
2023-09-18,511360.SH,0.1693548387096774
2023-09-18,511880.SH,0.08064516129032258
2023-09-19,512890.SH,0.16935483870967738
2023-09-19,511260.SH,0.5806451612903226
2023-09-19,511360.SH,0.1693548387096774
2023-09-19,511880.SH,0.08064516129032258
2023-09-20,512890.SH,0.16935483870967738
2023-09-20,511260.SH,0.5806451612903226
2023-09-20,511360.SH,0.1693548387096774
2023-09-20,511880.SH,0.08064516129032258
2023-09-21,512890.SH,0.16935483870967738
2023-09-21,511260.SH,0.5806451612903226
2023-09-21,511360.SH,0.1693548387096774
2023-09-21,511880.SH,0.08064516129032258
2023-09-22,512890.SH,0.16935483870967738
2023-09-22,511260.SH,0.5806451612903226
2023-09-22,511360.SH,0.1693548387096774
2023-09-22,511880.SH,0.08064516129032258
2023-09-25,512890.SH,0.16935483870967738
2023-09-25,511260.SH,0.5806451612903226
2023-09-25,511360.SH,0.1693548387096774
2023-09-25,511880.SH,0.08064516129032258
2023-09-26,512890.SH,0.16935483870967738
2023-09-26,511260.SH,0.5806451612903226
2023-09-26,511360.SH,0.1693548387096774
2023-09-26,511880.SH,0.08064516129032258
2023-09-27,512890.SH,0.16935483870967738
2023-09-27,511260.SH,0.5806451612903226
2023-09-27,511360.SH,0.1693548387096774
2023-09-27,511880.SH,0.08064516129032258
2023-09-28,512890.SH,0.16935483870967738
2023-09-28,511260.SH,0.5806451612903226
2023-09-28,511360.SH,0.1693548387096774
2023-09-28,511880.SH,0.08064516129032258
2023-10-09,512890.SH,0.16935483870967738
2023-10-09,511260.SH,0.5806451612903226
2023-10-09,511360.SH,0.1693548387096774
2023-10-09,511880.SH,0.08064516129032258
2023-10-10,512890.SH,0.4499999999999999
2023-10-10,511260.SH,0.4
2023-10-10,511360.SH,0.10714285714285714
2023-10-10,511880.SH,0.04285714285714286
2023-10-11,512890.SH,0.4499999999999999
2023-10-11,511260.SH,0.4
2023-10-11,511360.SH,0.10714285714285714
2023-10-11,511880.SH,0.04285714285714286
2023-10-12,512890.SH,0.16935483870967738
2023-10-12,511260.SH,0.5806451612903226
2023-10-12,511360.SH,0.1693548387096774
2023-10-12,511880.SH,0.08064516129032258
2023-10-13,512890.SH,0.16935483870967738
2023-10-13,511260.SH,0.5806451612903226
2023-10-13,511360.SH,0.1693548387096774
2023-10-13,511880.SH,0.08064516129032258
2023-10-16,512890.SH,0.17213114754098358
2023-10-16,511260.SH,0.5901639344262295
2023-10-16,511360.SH,0.12295081967213113
2023-10-16,511880.SH,0.11475409836065574
2023-10-17,512890.SH,0.17213114754098358
2023-10-17,511260.SH,0.5901639344262295
2023-10-17,511360.SH,0.12295081967213113
2023-10-17,511880.SH,0.11475409836065574
2023-10-18,512890.SH,0.17213114754098358
2023-10-18,511260.SH,0.5901639344262295
2023-10-18,511360.SH,0.12295081967213113
2023-10-18,511880.SH,0.11475409836065574
2023-10-19,512890.SH,0.45652173913043476
2023-10-19,511260.SH,0.40579710144927544
2023-10-19,511360.SH,0.06521739130434782
2023-10-19,511880.SH,0.07246376811594205
2023-10-20,512890.SH,0.45652173913043476
2023-10-20,511260.SH,0.40579710144927544
2023-10-20,511360.SH,0.06521739130434782
2023-10-20,511880.SH,0.07246376811594205
2023-10-23,512890.SH,0.45652173913043476
2023-10-23,511260.SH,0.40579710144927544
2023-10-23,511360.SH,0.06521739130434782
2023-10-23,511880.SH,0.07246376811594205
2023-10-24,512890.SH,0.45652173913043476
